Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
D11,FAM,HSP90AA1,Unkn-20,Hot,,36.88669158,37.60003704,0.758940272,3.59548843,0.555757896,2.38868048,1.172975411,64,
D12,FAM,HSP90AA1,Unkn-20,Hot,,38.39755445,37.60003704,0.758940272,1.252752098,0.097865139,2.38868048,1.172975411,64,
E01,FAM,HSP90AA1,Std-05,,,29.25171998,29.2235177,0.0521824,1000,3,1000,0,64,
E02,FAM,HSP90AA1,Std-05,,,29.16330282,29.2235177,0.0521824,1000,3,1000,0,64,
E03,FAM,HSP90AA1,Std-05,,,29.25553029,29.2235177,0.0521824,1000,3,1000,0,64,
E04,FAM,HSP90AA1,Unkn-05,Cool,,28.4656019,29.14131842,0.619056425,1282.072936,3.107912733,852.8964011,382.2707441,64,
E05,FAM,HSP90AA1,Unkn-05,Cool,,29.27722066,29.14131842,0.619056425,727.6756215,2.861937825,852.8964011,382.2707441,64,
E06,FAM,HSP90AA1,Unkn-05,Cool,,29.68113272,29.14131842,0.619056425,548.9406454,2.739525389,852.8964011,382.2707441,64,
E07,FAM,HSP90AA1,Unkn-13,Cool,,30.24788975,30.08367655,0.175909293,369.6238659,2.567760005,416.6029685,51.60256924,64,
E08,FAM,HSP90AA1,Unkn-13,Cool,,29.89803446,30.08367655,0.175909293,471.8344178,2.673789617,416.6029685,51.60256924,64,
E09,FAM,HSP90AA1,Unkn-13,Cool,,30.10510545,30.08367655,0.175909293,408.3506217,2.611033221,416.6029685,51.60256924,64,
E10,FAM,HSP90AA1,Unkn-21,Cool,,34.17739988,34.86481485,0.63369849,23.8152392,1.376854948,15.75889324,7.196644915,64,
E11,FAM,HSP90AA1,Unkn-21,Cool,,35.42570721,34.86481485,0.63369849,9.966303833,0.998534123,15.75889324,7.196644915,64,
E12,FAM,HSP90AA1,Unkn-21,Cool,,34.99133745,34.86481485,0.63369849,13.49513669,1.130177288,15.75889324,7.196644915,64,
F01,FAM,HSP90AA1,Std-06,,,32.29263032,32.43438035,0.123109709,100,2,100,0,64,
F02,FAM,HSP90AA1,Std-06,,,32.51453967,32.43438035,0.123109709,100,2,100,0,64,
F03,FAM,HSP90AA1,Std-06,,,32.49597105,32.43438035,0.123109709,100,2,100,0,64,
F04,FAM,HSP90AA1,Unkn-06,Cool,,33.60280543,33.553567,0.190869731,35.56277114,1.550995595,37.02743766,5.037293034,64,
F05,FAM,HSP90AA1,Unkn-06,Cool,,33.71499331,33.553567,0.190869731,32.88479552,1.516995146,37.02743766,5.037293034,64,
F06,FAM,HSP90AA1,Unkn-06,Cool,,33.34290226,33.553567,0.190869731,42.63474631,1.629763683,37.02743766,5.037293034,64,
F07,FAM,HSP90AA1,Unkn-14,Hot,,34.63895444,35.0610755,0.815678699,17.25730475,1.236972968,14.12654235,6.48566152,64,
F08,FAM,HSP90AA1,Unkn-14,Hot,,34.54296384,35.0610755,0.815678699,18.45289692,1.266064556,14.12654235,6.48566152,64,
