Plate,Well,BirdID,Sex,PairID,Treatment,NormCopyNumber,Target
1,A06,B230,M,L12,30_deg,0.00699814,IL1B
1,A07,B364,F,H6,40_deg,0.008006993,IL1B
1,A08,B364,F,H6,40_deg,0.005489394,IL1B
1,A09,B364,F,H6,40_deg,,IL1B
1,A10,B221,M,L2,30_deg,0.004881512,IL1B
1,A11,B221,M,L2,30_deg,0.005730327,IL1B
1,A12,B221,M,L2,30_deg,0.007517293,IL1B
1,B04,B193,F,H14,40_deg,0.008763172,IL1B
1,B05,B193,F,H14,40_deg,0.010263714,IL1B
1,B06,B193,F,H14,40_deg,0.011850496,IL1B
1,B07,B372,M,L10,30_deg,0.008152715,IL1B
1,B08,B372,M,L10,30_deg,0.006716442,IL1B
1,B09,B372,M,L10,30_deg,0.006707274,IL1B
1,B10,B275,M,H8,40_deg,,IL1B
1,B11,B275,M,H8,40_deg,0.005586301,IL1B
1,B12,B275,M,H8,40_deg,0.009068239,IL1B
1,C04,B371,M,L8,30_deg,0.008731478,IL1B
1,C05,B371,M,L8,30_deg,0.012423165,IL1B
1,C06,B371,M,L8,30_deg,0.00823403,IL1B
1,C07,B390,M,H16,40_deg,0.005753333,IL1B
1,C08,B390,M,H16,40_deg,0.005036178,IL1B
1,C09,B390,M,H16,40_deg,,IL1B
1,C10,B403,F,L16,30_deg,0.024898372,IL1B
1,C11,B403,F,L16,30_deg,0.028487958,IL1B
1,C12,B403,F,L16,30_deg,,IL1B
1,D04,B191,F,H8,40_deg,0.004827254,IL1B
1,D05,B191,F,H8,40_deg,0.006058021,IL1B
1,D06,B191,F,H8,40_deg,0.004935947,IL1B
1,D07,B239,F,L12,30_deg,0.196118485,IL1B
1,D08,B239,F,L12,30_deg,0.182662521,IL1B
1,D09,B239,F,L12,30_deg,0.179635537,IL1B
1,D10,B365,M,H6,40_deg,0.00292911,IL1B
1,D11,B365,M,H6,40_deg,0.003769584,IL1B
1,D12,B365,M,H6,40_deg,0.004036467,IL1B
1,E04,B176,M,L14,30_deg,0.016645532,IL1B
1,E05,B176,M,L14,30_deg,0.017889123,IL1B
1,E06,B176,M,L14,30_deg,0.015173131,IL1B
1,E07,B248,M,H12,40_deg,,IL1B
1,E08,B248,M,H12,40_deg,0.005785566,IL1B
1,E09,B248,M,H12,40_deg,0.008176612,IL1B
1,E10,B209,M,L6,30_deg,0.004387413,IL1B
1,E11,B209,M,L6,30_deg,0.005361117,IL1B
1,E12,B209,M,L6,30_deg,0.00432862,IL1B
1,F04,B195,F,H4,40_deg,0.005178257,IL1B
1,F05,B195,F,H4,40_deg,0.006315532,IL1B
1,F06,B195,F,H4,40_deg,,IL1B
1,F07,B368,M,L4,30_deg,0.013330556,IL1B
1,F08,B368,M,L4,30_deg,0.013667462,IL1B
1,F09,B368,M,L4,30_deg,0.010729862,IL1B
1,F10,B336,F,H10,40_deg,0.008052682,IL1B
1,F11,B336,F,H10,40_deg,,IL1B
1,F12,B336,F,H10,40_deg,0.008424094,IL1B
1,G04,B388,F,L14,30_deg,0.007599233,IL1B
1,G05,B388,F,L14,30_deg,0.009854007,IL1B
1,G06,B388,F,L14,30_deg,0.008412566,IL1B
1,G07,B234,F,H16,40_deg,0.002099255,IL1B
1,G08,B234,F,H16,40_deg,0.003363824,IL1B
1,G09,B234,F,H16,40_deg,0.002617484,IL1B
1,G10,B367,F,L2,30_deg,0.011856356,IL1B
1,G11,B367,F,L2,30_deg,0.009578952,IL1B
1,G12,B367,F,L2,30_deg,0.01072291,IL1B
1,H04,B302,F,H12,40_deg,0.01602504,IL1B
1,H05,B302,F,H12,40_deg,0.017228799,IL1B
1,H06,B302,F,H12,40_deg,0.015290238,IL1B
1,H07,B369,F,L4,30_deg,0.009599573,IL1B
1,H08,B369,F,L4,30_deg,,IL1B
1,H09,B369,F,L4,30_deg,0.007836174,IL1B
1,H10,B362,M,H2,40_deg,,IL1B
1,H11,B362,M,H2,40_deg,0.025215084,IL1B
1,H12,B362,M,H2,40_deg,0.016606812,IL1B
2,A04,B361,F,H2,40_deg,0.006168446,IL1B
2,A05,B361,F,H2,40_deg,0.005614247,IL1B
2,A06,B361,F,H2,40_deg,0.005486283,IL1B
2,B04,B175,M,L16,30_deg,,IL1B
2,B05,B175,M,L16,30_deg,,IL1B
2,B06,B175,M,L16,30_deg,0.00990476,IL1B
2,C04,B363,M,H4,40_deg,0.003739137,IL1B
2,C05,B363,M,H4,40_deg,,IL1B
2,C06,B363,M,H4,40_deg,0.003829616,IL1B
2,D04,B370,F,L8,30_deg,0.003876534,IL1B
2,D05,B370,F,L8,30_deg,0.004678164,IL1B
2,D06,B370,F,L8,30_deg,0.003928745,IL1B
2,E04,B402,M,H14,40_deg,0.006511413,IL1B
2,E05,B402,M,H14,40_deg,0.005539629,IL1B
2,E06,B402,M,H14,40_deg,0.005156624,IL1B
2,F04,B287,F,L10,30_deg,0.003887179,IL1B
2,F05,B287,F,L10,30_deg,0.003447935,IL1B
2,F06,B287,F,L10,30_deg,0.003068829,IL1B
2,G04,B169,M,H10,40_deg,0.015326263,IL1B
2,G05,B169,M,H10,40_deg,0.012764597,IL1B
2,G06,B169,M,H10,40_deg,,IL1B
1,A04,B230,M,L12,30_deg,0.17088021,HSP90AA1
1,A05,B230,M,L12,30_deg,0.169863036,HSP90AA1
1,A06,B230,M,L12,30_deg,,HSP90AA1
1,A07,B364,F,H6,40_deg,0.251444374,HSP90AA1
1,A08,B364,F,H6,40_deg,,HSP90AA1
1,A09,B364,F,H6,40_deg,0.15512922,HSP90AA1
1,A10,B221,M,L2,30_deg,0.032646231,HSP90AA1
1,A11,B221,M,L2,30_deg,,HSP90AA1
1,A12,B221,M,L2,30_deg,0.025163195,HSP90AA1
1,B04,B193,F,H14,40_deg,0.142424889,HSP90AA1
1,B05,B193,F,H14,40_deg,0.129071586,HSP90AA1
1,B06,B193,F,H14,40_deg,,HSP90AA1
1,B07,B372,M,L10,30_deg,,HSP90AA1
1,B08,B372,M,L10,30_deg,,HSP90AA1
