,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSPA2,Std-01,,,13.5963952058062,13.4727779777345,0.144760869607873,10000000,7,10000000,0,64,
,A02,Cy5,HSPA2,Std-01,,,13.3135281246746,13.4727779777345,0.144760869607873,10000000,7,10000000,0,64,
,A03,Cy5,HSPA2,Std-01,,,13.5084106027225,13.4727779777345,0.144760869607873,10000000,7,10000000,0,64,
,A04,Cy5,HSPA2,Unkn-25,40C,,22.5617349749226,23.5889406241573,1.3905407824116,68412.3373020976,4.83513442831467,48030.6950353232,24664.2752014632,64,
,A05,Cy5,HSPA2,Unkn-25,40C,,23.0337871233267,23.5889406241573,1.3905407824116,55066.8285107877,4.74089006467945,48030.6950353232,24664.2752014632,64,
,A06,Cy5,HSPA2,Unkn-25,40C,,25.1712997742226,23.5889406241573,1.3905407824116,20612.9192930842,4.31413950284642,48030.6950353232,24664.2752014632,64,
,B01,Cy5,HSPA2,Std-02,,,16.93403114406,16.9739843871791,0.0415651128696085,1000000,6,1000000,0,64,
,B02,Cy5,HSPA2,Std-02,,,17.0169927776907,16.9739843871791,0.0415651128696085,1000000,6,1000000,0,64,
,B03,Cy5,HSPA2,Std-02,,,16.9709292397866,16.9739843871791,0.0415651128696085,1000000,6,1000000,0,64,
,B04,Cy5,HSPA2,Unkn-26,30C,,26.9720113414383,27.5506341200505,0.501247739844979,9008.04760181351,3.95463067248399,7032.30740249656,1711.37070309369,64,
,B05,Cy5,HSPA2,Unkn-26,30C,,27.8278601151571,27.5506341200505,0.501247739844979,6078.01827973958,3.78376200189366,7032.30740249656,1711.37070309369,64,
,B06,Cy5,HSPA2,Unkn-26,30C,,27.8520309035563,27.5506341200505,0.501247739844979,6010.8563259366,3.77893634739989,7032.30740249656,1711.37070309369,64,
,C01,Cy5,HSPA2,Std-03,,,20.5455864324096,20.4297820849169,0.195293921520537,100000,5,100000,0,64,
,C02,Cy5,HSPA2,Std-03,,,20.5394559554287,20.4297820849169,0.195293921520537,100000,5,100000,0,64,
,C03,Cy5,HSPA2,Std-03,,,20.2043038669124,20.4297820849169,0.195293921520537,100000,5,100000,0,64,
,C04,Cy5,HSPA2,Unkn-27,40C,,26.6860132470079,27.9982664892373,1.7936142527888,10273.766202989,4.01172967839172,6778.90735622742,4147.08856855117,64,
,C05,Cy5,HSPA2,Unkn-27,40C,,30.0420334308245,27.9982664892373,1.7936142527888,2196.37390894963,3.34170627601963,6778.90735622742,4147.08856855117,64,
,C06,Cy5,HSPA2,Unkn-27,40C,,27.2667527898795,27.9982664892373,1.7936142527888,7866.58195674359,3.89578607165084,6778.90735622742,4147.08856855117,64,
,D01,Cy5,HSPA2,Std-04,,,25.1836934667444,25.1935950286231,0.0779997081807621,10000,4,10000,0,64,
,D02,Cy5,HSPA2,Std-04,,,25.1210188866224,25.1935950286231,0.0779997081807621,10000,4,10000,0,64,
,D03,Cy5,HSPA2,Std-04,,,25.2760727325025,25.1935950286231,0.0779997081807621,10000,4,10000,0,64,
,D04,Cy5,HSPA2,Unkn-28,30C,,32.4442050917122,31.2268619093813,1.29169767984535,727.975927060794,2.8621170181626,1432.97514093897,848.791551605176,64,
,D05,Cy5,HSPA2,Unkn-28,30C,,31.3645411596051,31.2268619093813,1.29169767984535,1195.83148335306,3.07766998315882,1432.97514093897,848.791551605176,64,
,D06,Cy5,HSPA2,Unkn-28,30C,,29.8718394768267,31.2268619093813,1.29169767984535,2375.11801240305,3.37568519327126,1432.97514093897,848.791551605176,64,
,E01,Cy5,HSPA2,Std-05,,,30.242211530752,30.38450379246,0.123356299125286,1000,3,1000,0,64,
,E02,Cy5,HSPA2,Std-05,,,30.4500409370059,30.38450379246,0.123356299125286,1000,3,1000,0,64,
,E03,Cy5,HSPA2,Std-05,,,30.4612589096221,30.38450379246,0.123356299125286,1000,3,1000,0,64,
,E04,Cy5,HSPA2,Unkn-29,40C,,29.2848742020448,28.2935663449193,1.25069012812286,3110.79760705174,3.49287175620676,5509.46110059496,3368.89749265057,64,
,E05,Cy5,HSPA2,Unkn-29,40C,,26.8884030178977,28.2935663449193,1.25069012812286,9361.01463287859,3.97132292412044,5509.46110059496,3368.89749265057,64,
,E06,Cy5,HSPA2,Unkn-29,40C,,28.7074218148153,28.2935663449193,1.25069012812286,4056.57106185456,3.60815908822734,5509.46110059496,3368.89749265057,64,
,F01,Cy5,HSPA2,Std-06,,,37.4245767843389,37.6178627041588,0.182687687326321,100,2,100,0,64,
,F02,Cy5,HSPA2,Std-06,,,37.7876849370918,37.6178627041588,0.182687687326321,100,2,100,0,64,
,F03,Cy5,HSPA2,Std-06,,,37.6413263910456,37.6178627041588,0.182687687326321,100,2,100,0,64,
,F04,Cy5,HSPA2,Unkn-30,30C,,29.1621427594637,30.568520011884,1.52247288285929,3291.35607013509,3.51737486829554,2003.5446670309,1238.9652618751,64,
,F05,Cy5,HSPA2,Unkn-30,30C,,30.3581984044636,30.568520011884,1.52247288285929,1899.26037226264,3.27858450685683,2003.5446670309,1238.9652618751,64,
