Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,D09,FAM,HSP90AA1,Unkn-12,Hot,90532,F,1/8/2018,29.66525887,29.20612573,0.459133143,0.399012778,28.80711295,29.60513851,198.9753135,555.0552665,5,2775.276332
1,D10,FAM,HSP90AA1,Unkn-20,Hot,,,,37.5158651,37.20127834,0.314586762,0.758940272,36.44233807,37.96021861,1.172975411,2.317800913,5,11.58900456
1,D11,FAM,HSP90AA1,Unkn-20,Hot,,,,36.88669158,37.20127834,0.314586762,0.758940272,36.44233807,37.96021861,1.172975411,3.59548843,5,17.97744215
1,E05,FAM,HSP90AA1,Unkn-05,Cool,24507,F,1/16/2018,29.27722066,29.47917669,0.201956028,0.619056425,28.86012026,30.09823311,382.2707441,727.6756215,5,3638.378107
1,E06,FAM,HSP90AA1,Unkn-05,Cool,24507,F,1/16/2018,29.68113272,29.47917669,0.201956028,0.619056425,28.86012026,30.09823311,382.2707441,548.9406454,5,2744.703227
1,E07,FAM,HSP90AA1,Unkn-13,Cool,90591,F,1/2/2018,30.24788975,30.08367655,0.164213196,0.175909293,29.90776726,30.25958584,51.60256924,369.6238659,5,1848.119329
1,E08,FAM,HSP90AA1,Unkn-13,Cool,90591,F,1/2/2018,29.89803446,30.08367655,0.185642095,0.175909293,29.90776726,30.25958584,51.60256924,471.8344178,5,2359.172089
1,E09,FAM,HSP90AA1,Unkn-13,Cool,90591,F,1/2/2018,30.10510545,30.08367655,0.021428899,0.175909293,29.90776726,30.25958584,51.60256924,408.3506217,5,2041.753109
1,E11,FAM,HSP90AA1,Unkn-21,Cool,23868,M,1/3/2018,35.42570721,35.20852233,0.217184883,0.63369849,34.57482384,35.84222082,7.196644915,9.966303833,5,49.83151917
1,E12,FAM,HSP90AA1,Unkn-21,Cool,23868,M,1/3/2018,34.99133745,35.20852233,0.217184883,0.63369849,34.57482384,35.84222082,7.196644915,13.49513669,5,67.47568344
1,F04,FAM,HSP90AA1,Unkn-06,Cool,90583,M,1/4/2018,33.60280543,33.553567,0.049238432,0.190869731,33.36269727,33.74443673,5.037293034,35.56277114,5,177.8138557
1,F05,FAM,HSP90AA1,Unkn-06,Cool,90583,M,1/4/2018,33.71499331,33.553567,0.161426308,0.190869731,33.36269727,33.74443673,5.037293034,32.88479552,5,164.4239776
1,F06,FAM,HSP90AA1,Unkn-06,Cool,90583,M,1/4/2018,33.34290226,33.553567,0.21066474,0.190869731,33.36269727,33.74443673,5.037293034,42.63474631,5,213.1737315
1,F07,FAM,HSP90AA1,Unkn-14,Hot,23850,F,12/30/2017,34.63895444,34.59095914,0.047995298,0.815678699,33.77528044,35.40663784,6.48566152,17.25730475,5,86.28652376
1,F08,FAM,HSP90AA1,Unkn-14,Hot,23850,F,12/30/2017,34.54296384,34.59095914,0.047995298,0.815678699,33.77528044,35.40663784,6.48566152,18.45289692,5,92.2644846
1,F10,FAM,HSP90AA1,Unkn-22,Hot,23625,M,12/30/2017,40.38754261,40.3035362,0.084006407,1.503726577,38.79980963,41.80726278,0.982885542,0.312439036,5,1.562195181
1,F12,FAM,HSP90AA1,Unkn-22,Hot,23625,M,12/30/2017,40.2195298,40.3035362,0.084006407,1.503726577,38.79980963,41.80726278,0.982885542,0.351305087,5,1.756525434
1,G04,FAM,HSP90AA1,Unkn-07,Hot,18945,M,12/30/2017,31.47118726,31.73251306,0.261325793,0.262685137,31.46982792,31.99519819,24.1785998,157.4051114,5,787.025557
