,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSP60,Std-01,,,16.3496759733917,16.386277905431,0.161765720351981,10000000,7,10000000,0,64,
,A02,Cy5,HSP60,Std-01,,,16.245949201435,16.386277905431,0.161765720351981,10000000,7,10000000,0,64,
,A03,Cy5,HSP60,Std-01,,,16.5632085414661,16.386277905431,0.161765720351981,10000000,7,10000000,0,64,
,A04,Cy5,HSP60,Unkn-01,Cool,,35.6498365826026,35.9869663458171,0.291966249295643,8.85858862955858,0.947364534616129,7.09533674287638,1.52703294380563,64,
,A05,Cy5,HSP60,Unkn-01,Cool,,36.1541409778278,35.9869663458171,0.291966249295643,6.21976881500812,0.793774242531301,7.09533674287638,1.52703294380563,64,
,A06,Cy5,HSP60,Unkn-01,Cool,,36.1569214770211,35.9869663458171,0.291966249295643,6.20765278406246,0.792927417305731,7.09533674287638,1.52703294380563,64,
,A07,Cy5,HSP60,Unkn-09,Hot,,32.136630932049,32.1047623920749,0.222167711058177,104.073914017769,2.01734188784081,107.298300357786,16.9357618249853,64,
,A08,Cy5,HSP60,Unkn-09,Hot,,32.3092749160241,32.1047623920749,0.222167711058177,92.2065260906749,1.96476166015197,107.298300357786,16.9357618249853,64,
,A09,Cy5,HSP60,Unkn-09,Hot,,31.8683813281516,32.1047623920749,0.222167711058177,125.614460964915,2.09903963904887,107.298300357786,16.9357618249853,64,
,A10,Cy5,HSP60,Unkn-17,Cool,,33.9251646724187,34.0002155076233,0.0711156197502778,29.6912425764324,1.47262837317017,28.1923996711383,1.41184876719368,64,
,A11,Cy5,HSP60,Unkn-17,Cool,,34.0088798706055,34.0002155076233,0.0711156197502778,27.9983334204686,1.44713218106239,28.1923996711383,1.41184876719368,64,
,A12,Cy5,HSP60,Unkn-17,Cool,,34.0666019798457,34.0002155076233,0.0711156197502778,26.8876230165138,1.42955241038839,28.1923996711383,1.41184876719368,64,
,B01,Cy5,HSP60,Std-02,,,18.4463158835143,18.3238635097548,0.107936679906188,1000000,6,1000000,0,64,
,B02,Cy5,HSP60,Std-02,,,18.2425278974812,18.3238635097548,0.107936679906188,1000000,6,1000000,0,64,
,B03,Cy5,HSP60,Std-02,,,18.2827467482689,18.3238635097548,0.107936679906188,1000000,6,1000000,0,64,
,B04,Cy5,HSP60,Unkn-02,Hot,,36.3233424886545,36.1176515277774,0.348672451193293,5.52385729042237,0.742242449996623,6.51479245720912,1.68681785809966,64,
,B05,Cy5,HSP60,Unkn-02,Hot,,36.3145407628479,36.1176515277774,0.348672451193293,5.55805822686484,0.744923092184721,6.51479245720912,1.68681785809966,64,
,B06,Cy5,HSP60,Unkn-02,Hot,,35.7150713318299,36.1176515277774,0.348672451193293,8.46246185434014,0.927496724058114,6.51479245720912,1.68681785809966,64,
,B07,Cy5,HSP60,Unkn-10,Cool,,35.9813460998442,36.1213417086041,0.162824973223541,7.02102349423742,0.846400426303525,6.39182506069841,0.714594761070198,64,
,B08,Cy5,HSP60,Unkn-10,Cool,,36.0826523745951,36.1213417086041,0.162824973223541,6.53953274521096,0.815546718748431,6.39182506069841,0.714594761070198,64,
,B09,Cy5,HSP60,Unkn-10,Cool,,36.3000266513731,36.1213417086041,0.162824973223541,5.61491894264685,0.749343491137942,6.39182506069841,0.714594761070198,64,
,B10,Cy5,HSP60,Unkn-18,Hot,,40.2420342390198,40.2420342390198,0,0.353810548232226,-0.451229223515721,0.353810548232226,0,64,
,B11,Cy5,HSP60,Unkn-18,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,B12,Cy5,HSP60,Unkn-18,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,C01,Cy5,HSP60,Std-03,,,22.0629232002075,22.0661661649403,0.0549099545768355,100000,5,100000,0,64,
,C02,Cy5,HSP60,Std-03,,,22.1226257316681,22.0661661649403,0.0549099545768355,100000,5,100000,0,64,
,C03,Cy5,HSP60,Std-03,,,22.0129495629452,22.0661661649403,0.0549099545768355,100000,5,100000,0,64,
,C04,Cy5,HSP60,Unkn-03,Cool,,33.5376177238217,33.4821077481218,0.0736473622428253,38.9636083090314,1.59065916884668,40.5466070767987,2.11961591640855,64,
,C05,Cy5,HSP60,Unkn-03,Cool,,33.5101462716659,33.4821077481218,0.0736473622428253,39.7215181367646,1.59902583866071,40.5466070767987,2.11961591640855,64,
,C06,Cy5,HSP60,Unkn-03,Cool,,33.3985592488779,33.4821077481218,0.0736473622428253,42.9546947846003,1.63301063749482,40.5466070767987,2.11961591640855,64,
,C07,Cy5,HSP60,Unkn-11,Cool,,37.8339446957621,39.0914188520763,1.48712040679581,1.91502920873462,0.282175402375415,1.06789266283073,0.832533846624981,64,
,C08,Cy5,HSP60,Unkn-11,Cool,,38.7074387120723,39.0914188520763,1.48712040679581,1.03787535255286,0.0161451984555606,1.06789266283073,0.832533846624981,64,
,C09,Cy5,HSP60,Unkn-11,Cool,,40.7328731483945,39.0914188520763,1.48712040679581,0.250773427204695,-0.600718484706467,1.06789266283073,0.832533846624981,64,
,C10,Cy5,HSP60,Unkn-19,Cool,,35.7286296182936,35.5822091348775,0.180726652540853,8.38238164122809,0.923367429929736,9.33951066923486,1.21199580553796,64,
,C11,Cy5,HSP60,Unkn-19,Cool,,35.3802242665314,35.5822091348775,0.180726652540853,10.7023047068642,1.02947731167523,9.33951066923486,1.21199580553796,64,
,C12,Cy5,HSP60,Unkn-19,Cool,,35.6377735198075,35.5822091348775,0.180726652540853,8.93384565961232,0.951038445364643,9.33951066923486,1.21199580553796,64,
,D01,Cy5,HSP60,Std-04,,,25.9672919857291,25.8755433368721,0.10662224779883,10000,4,10000,0,64,
,D02,Cy5,HSP60,Std-04,,,25.9007671333777,25.8755433368721,0.10662224779883,10000,4,10000,0,64,
,D03,Cy5,HSP60,Std-04,,,25.7585708915095,25.8755433368721,0.10662224779883,10000,4,10000,0,64,
,D04,Cy5,HSP60,Unkn-04,Hot,,31.9801066882767,33.1627154054088,1.024285689331,116.148260078006,2.0650127083749,61.0356795933996,47.7302726752799,64,
,D05,Cy5,HSP60,Unkn-04,Hot,,33.7385717870601,33.1627154054088,1.024285689331,33.8420653806554,1.52945686016042,61.0356795933996,47.7302726752799,64,
,D06,Cy5,HSP60,Unkn-04,Hot,,33.7694677408895,33.1627154054088,1.024285689331,33.1167133215374,1.52004722856126,61.0356795933996,47.7302726752799,64,
,D07,Cy5,HSP60,Unkn-12,Hot,,31.3190632446716,31.7130739536137,0.34181995090161,184.645718402372,2.26633924160637,142.886372103888,36.2058741365102,64,
,D08,Cy5,HSP60,Unkn-12,Hot,,31.9302671698727,31.7130739536137,0.34181995090161,120.279542467441,2.08019176741448,142.886372103888,36.2058741365102,64,
,D09,Cy5,HSP60,Unkn-12,Hot,,31.8898914462968,31.7130739536137,0.34181995090161,123.733855441852,2.09248854538403,142.886372103888,36.2058741365102,64,
,D10,Cy5,HSP60,Unkn-20,Hot,,40.4862842966954,39.1666913054215,1.25395798150985,0.298113947912993,-0.525617704074924,0.948515357611276,0.715925573109902,64,
,D11,Cy5,HSP60,Unkn-20,Hot,,39.023050186031,39.1666913054215,1.25395798150985,0.831807779069388,-0.0799770224285125,0.948515357611276,0.715925573109902,64,
,D12,Cy5,HSP60,Unkn-20,Hot,,37.9907394335383,39.1666913054215,1.25395798150985,1.71562434585145,0.234422200538544,0.948515357611276,0.715925573109902,64,
,E01,Cy5,HSP60,Std-05,,,29.1280611698371,29.083844728536,0.0416976238077856,1000,3,1000,0,64,
,E02,Cy5,HSP60,Std-05,,,29.0452328243506,29.083844728536,0.0416976238077856,1000,3,1000,0,64,
,E03,Cy5,HSP60,Std-05,,,29.0782401914202,29.083844728536,0.0416976238077856,1000,3,1000,0,64,
,E04,Cy5,HSP60,Unkn-05,Cool,,33.3115420090097,33.4302002209963,0.11137541295032,45.657538619088,1.65951249513141,42.0980249214192,3.31306091038479,64,
,E05,Cy5,HSP60,Unkn-05,Cool,,33.5324787641915,33.4302002209963,0.11137541295032,39.1042790804598,1.59222428372192,42.0980249214192,3.31306091038479,64,
,E06,Cy5,HSP60,Unkn-05,Cool,,33.4465798897877,33.4302002209963,0.11137541295032,41.5322570647097,1.61838553342418,42.0980249214192,3.31306091038479,64,
,E07,Cy5,HSP60,Unkn-13,Cool,,33.1219469606015,33.1782994126909,0.0652348886668139,52.1501205892168,1.7172553170036,50.1642223020999,2.2769732227481,64,
,E08,Cy5,HSP60,Unkn-13,Cool,,33.1631871696357,33.1782994126909,0.0652348886668139,50.6635074069194,1.70469525246485,50.1642223020999,2.2769732227481,64,
,E09,Cy5,HSP60,Unkn-13,Cool,,33.2497641078354,33.1782994126909,0.0652348886668139,47.6790389101637,1.67832749253295,50.1642223020999,2.2769732227481,64,
,E10,Cy5,HSP60,Unkn-21,Cool,,35.5794070278763,35.9027468744198,0.28223302182035,9.30710188986169,0.968814468394697,7.51951675439968,1.55674063434145,64,
