,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSP90B1,Std-01,,,15.6775038802773,15.6774286408076,0.120830430310699,10000000,7,10000000,0,64,
,A02,Cy5,HSP90B1,Std-01,,,15.556560608331,15.6774286408076,0.120830430310699,10000000,7,10000000,0,64,
,A03,Cy5,HSP90B1,Std-01,,,15.7982214338144,15.6774286408076,0.120830430310699,10000000,7,10000000,0,64,
,A04,Cy5,HSP90B1,Unkn-25,Cool,,37.2743269372491,37.8431716528653,0.596559404666462,4.11299383761113,0.614158058817833,2.95661391194142,1.1323200719096,64,
,A05,Cy5,HSP90B1,Unkn-25,Cool,,38.4640384941066,37.8431716528653,0.596559404666462,1.84999434558264,0.267170401005171,2.95661391194142,1.1323200719096,64,
,A06,Cy5,HSP90B1,Unkn-25,Cool,,37.7911495272403,37.8431716528653,0.596559404666462,2.90685355263049,0.463423152552486,2.95661391194142,1.1323200719096,64,
,A07,Cy5,HSP90B1,Unkn-33,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,A08,Cy5,HSP90B1,Unkn-33,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,A09,Cy5,HSP90B1,Unkn-33,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,A10,Cy5,HSP90B1,Unkn-41,Hot,,33.3338854702685,33.367985862847,0.0930475627315011,57.9982973623993,1.76341524430486,56.7582644361417,3.49191327958868,64,
,A11,Cy5,HSP90B1,Unkn-41,Hot,,33.2967993244405,33.367985862847,0.0930475627315011,59.4609271793937,1.77423167691323,56.7582644361417,3.49191327958868,64,
,A12,Cy5,HSP90B1,Unkn-41,Hot,,33.473272793832,33.367985862847,0.0930475627315011,52.815568766632,1.72276196103356,56.7582644361417,3.49191327958868,64,
,B01,Cy5,HSP90B1,Std-02,,,18.7253357581866,18.6674685571904,0.068643401023412,1000000,6,1000000,0,64,
,B02,Cy5,HSP90B1,Std-02,,,18.6854439834431,18.6674685571904,0.068643401023412,1000000,6,1000000,0,64,
,B03,Cy5,HSP90B1,Std-02,,,18.5916259299415,18.6674685571904,0.068643401023412,1000000,6,1000000,0,64,
,B04,Cy5,HSP90B1,Unkn-26,Cool,,35.4134304039087,35.4651422314352,0.205627711774496,14.3516385337853,1.15690148752002,13.9486089579925,1.87444459044594,64,
,B05,Cy5,HSP90B1,Unkn-26,Cool,,35.691689876518,35.4651422314352,0.205627711774496,11.905432449413,1.07574517521194,13.9486089579925,1.87444459044594,64,
,B06,Cy5,HSP90B1,Unkn-26,Cool,,35.290306413879,35.4651422314352,0.205627711774496,15.5887558907791,1.19281145634795,13.9486089579925,1.87444459044594,64,
,B07,Cy5,HSP90B1,Unkn-34,Hot,,37.2463492696738,37.3244334297494,0.0926816676721251,4.19100269722019,0.622317940334553,3.98199336207175,0.244886332958211,64,
,B08,Cy5,HSP90B1,Unkn-34,Hot,,37.4268556287635,37.3244334297494,0.0926816676721251,3.71254737330928,0.569672004099153,3.98199336207175,0.244886332958211,64,
,B09,Cy5,HSP90B1,Unkn-34,Hot,,37.3000953908109,37.3244334297494,0.0926816676721251,4.04243001568576,0.606642509947743,3.98199336207175,0.244886332958211,64,
,C01,Cy5,HSP90B1,Std-03,,,22.044532372262,21.9514041215613,0.0811626769752996,100000,5,100000,0,64,
,C02,Cy5,HSP90B1,Std-03,,,21.9139354249999,21.9514041215613,0.0811626769752996,100000,5,100000,0,64,
,C03,Cy5,HSP90B1,Std-03,,,21.8957445674219,21.9514041215613,0.0811626769752996,100000,5,100000,0,64,
,C04,Cy5,HSP90B1,Unkn-27,Hot,,38.2322827773193,38.801929130482,0.619108767445847,2.16154145573297,0.334763569188857,1.55808494097892,0.60719160695627,64,
,C05,Cy5,HSP90B1,Unkn-27,Hot,,38.7126895580832,38.801929130482,0.619108767445847,1.56548743855651,0.194649587195682,1.55808494097892,0.60719160695627,64,
,C06,Cy5,HSP90B1,Unkn-27,Hot,,39.4608150560436,38.801929130482,0.619108767445847,0.94722592864728,-0.0235464224092518,1.55808494097892,0.60719160695627,64,
,C07,Cy5,HSP90B1,Unkn-35,Cool,,34.6484019274541,35.1665064331316,0.492301119367,23.9898409401215,1.38002736847402,17.5747144632277,5.88548433335573,64,
,C08,Cy5,HSP90B1,Unkn-35,Cool,,35.6281325811975,35.1665064331316,0.492301119367,12.424591044949,1.09428210285044,17.5747144632277,5.88548433335573,64,
,C09,Cy5,HSP90B1,Unkn-35,Cool,,35.2229847907433,35.1665064331316,0.492301119367,16.3097114046128,1.21244627639938,17.5747144632277,5.88548433335573,64,
,D01,Cy5,HSP90B1,Std-04,,,25.6801972268283,25.5362785079082,0.125635465808628,10000,4,10000,0,64,
,D02,Cy5,HSP90B1,Std-04,,,25.4485133891419,25.5362785079082,0.125635465808628,10000,4,10000,0,64,
,D03,Cy5,HSP90B1,Std-04,,,25.4801249077544,25.5362785079082,0.125635465808628,10000,4,10000,0,64,
,D04,Cy5,HSP90B1,Unkn-28,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,D05,Cy5,HSP90B1,Unkn-28,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,D06,Cy5,HSP90B1,Unkn-28,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,D07,Cy5,HSP90B1,Unkn-36,Cool,,37.1501072961645,37.4607732620215,0.720731622694245,4.47082408529189,0.650387581903362,3.89336829083889,1.59817678954446,64,
,D08,Cy5,HSP90B1,Unkn-36,Cool,,38.2847384795866,37.4607732620215,0.720731622694245,2.08672153717502,0.319464498448765,3.89336829083889,1.59817678954446,64,
,D09,Cy5,HSP90B1,Unkn-36,Cool,,36.9474740103135,37.4607732620215,0.720731622694245,5.12255925004975,0.709486990366711,3.89336829083889,1.59817678954446,64,
,E01,Cy5,HSP90B1,Std-05,,,29.3775172846241,29.3803711039018,0.00974632925462006,1000,3,1000,0,64,
,E02,Cy5,HSP90B1,Std-05,,,29.3723702502541,29.3803711039018,0.00974632925462006,1000,3,1000,0,64,
,E03,Cy5,HSP90B1,Std-05,,,29.3912257768272,29.3803711039018,0.00974632925462006,1000,3,1000,0,64,
,E04,Cy5,HSP90B1,Unkn-29,Hot,,35.005633203873,36.0538939344046,0.924043213935173,18.8728887474152,1.27583837981745,10.6970412029757,7.121348879662,64,
,E05,Cy5,HSP90B1,Unkn-29,Hot,,36.4056353735801,36.0538939344046,0.924043213935173,7.37085725735407,0.867518000815301,10.6970412029757,7.121348879662,64,
,E06,Cy5,HSP90B1,Unkn-29,Hot,,36.7504132257608,36.0538939344046,0.924043213935173,5.84737760415789,0.766961140033109,10.6970412029757,7.121348879662,64,
,E07,Cy5,HSP90B1,Unkn-37,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,E08,Cy5,HSP90B1,Unkn-37,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,E09,Cy5,HSP90B1,Unkn-37,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,F01,Cy5,HSP90B1,Std-06,,,32.4996784584425,32.3918306172781,0.0945547479080938,100,2,100,0,64,
,F02,Cy5,HSP90B1,Std-06,,,32.3231678799488,32.3918306172781,0.0945547479080938,100,2,100,0,64,
,F03,Cy5,HSP90B1,Std-06,,,32.3526455134431,32.3918306172781,0.0945547479080938,100,2,100,0,64,
,F04,Cy5,HSP90B1,Unkn-30,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,F05,Cy5,HSP90B1,Unkn-30,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,F06,Cy5,HSP90B1,Unkn-30,Cool,,NaN,0,0,NaN,NaN,0,0,64,
,F07,Cy5,HSP90B1,Unkn-38,Cool,,36.5787363264972,36.9926043449086,0.361256183780162,6.56193467855983,0.817031902843351,5.07186945288242,1.29709020316899,64,
,F08,Cy5,HSP90B1,Unkn-38,Cool,,37.244715536647,36.9926043449086,0.361256183780162,4.19560341222446,0.622794429945134,5.07186945288242,1.29709020316899,64,
,F09,Cy5,HSP90B1,Unkn-38,Cool,,37.1543611715815,36.9926043449086,0.361256183780162,4.45807026786298,0.649146909524355,5.07186945288242,1.29709020316899,64,
,G01,Cy5,HSP90B1,Std-07,,,36.1589148777629,36.1031965145638,0.0787976649094346,10,1,10,0,64,
,G02,Cy5,HSP90B1,Std-07,,,36.0474781513647,36.1031965145638,0.0787976649094346,10,1,10,0,64,
,G04,Cy5,HSP90B1,Unkn-31,Cool,,37.7734349801645,38.7835918146608,1.05766435344914,2.94164136248473,0.468589723528124,1.7466579994601,1.1229155047842,64,
,G05,Cy5,HSP90B1,Unkn-31,Cool,,38.6942450794741,38.7835918146608,1.05766435344914,1.58499920158037,0.200029047784479,1.7466579994601,1.1229155047842,64,
,G06,Cy5,HSP90B1,Unkn-31,Cool,,39.8830953843439,38.7835918146608,1.05766435344914,0.713333434315188,-0.146707419890295,1.7466579994601,1.1229155047842,64,
,G07,Cy5,HSP90B1,Unkn-39,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,G08,Cy5,HSP90B1,Unkn-39,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,G09,Cy5,HSP90B1,Unkn-39,Hot,,NaN,0,0,NaN,NaN,0,0,64,
,H01,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H02,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H03,Cy5,HSP90B1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
,H04,Cy5,HSP90B1,Unkn-32,Hot,,38.0066489791898,38.3302092563345,0.67793933642576,2.51519254534831,0.400571237177821,2.15430496017701,0.83512423457916,64,
,H05,Cy5,HSP90B1,Unkn-32,Hot,,39.1093088455674,38.3302092563345,0.67793933642576,1.19942421061336,0.0789728109096868,2.15430496017701,0.83512423457916,64,
,H06,Cy5,HSP90B1,Unkn-32,Hot,,37.8746699442461,38.3302092563345,0.67793933642576,2.74829812456937,0.439063841499862,2.15430496017701,0.83512423457916,64,
,H07,Cy5,HSP90B1,Unkn-40,Cool,,36.0644044567497,35.9160407661178,0.199097017913528,9.26915988035572,0.967040373210317,10.3027445934016,1.41914463645237,64,
,H08,Cy5,HSP90B1,Unkn-40,Cool,,35.6897708409973,35.9160407661178,0.199097017913528,11.9207855503277,1.07630487528102,10.3027445934016,1.41914463645237,64,
,H09,Cy5,HSP90B1,Unkn-40,Cool,,35.9939470006063,35.9160407661178,0.199097017913528,9.71828834952136,0.987589780788744,10.3027445934016,1.41914463645237,64,
,A01,FAM,IL1B,Std-01,,,15.0502279902666,15.0761501039831,0.100342039733423,10000000,7,10000000,0,64,
,A02,FAM,IL1B,Std-01,,,14.991312602809,15.0761501039831,0.100342039733423,10000000,7,10000000,0,64,
,A03,FAM,IL1B,Std-01,,,15.1869097188738,15.0761501039831,0.100342039733423,10000000,7,10000000,0,64,
,A04,FAM,IL1B,Unkn-25,Cool,,37.3356582655005,37.7249739146045,0.407701430910778,3.14054074976922,0.497004432920826,2.48451691135133,0.654746179914774,64,
,A05,FAM,IL1B,Unkn-25,Cool,,38.1488596841997,37.7249739146045,0.407701430910778,1.83105591366223,0.262701606248289,2.48451691135133,0.654746179914774,64,
,A06,FAM,IL1B,Unkn-25,Cool,,37.6904037941134,37.7249739146045,0.407701430910778,2.48195407062253,0.394793740474656,2.48451691135133,0.654746179914774,64,
,A07,FAM,IL1B,Unkn-33,Cool,,34.3475925061083,34.6553432704502,0.316112770900597,22.8001562045013,1.35793782237416,18.8615652757441,3.90291755400768,64,
,A08,FAM,IL1B,Unkn-33,Cool,,34.9792021347942,34.6553432704502,0.316112770900597,14.9953271250107,1.17595594438947,18.8615652757441,3.90291755400768,64,
