Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,PairID,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,D11,Cy5,HSP60,Unkn-12,40_deg,B365,M,H6,30.75063692,30.72050989,0.030127031,0.074561776,14960.69773,292822.3272,5,1464111.636
1,D12,Cy5,HSP60,Unkn-12,40_deg,B365,M,H6,30.77529428,30.72050989,0.05478439,0.074561776,14960.69773,288073.7427,5,1440368.713
1,E04,Cy5,HSP60,Unkn-13,30_deg,B176,M,L14,30.36218109,30.31812633,0.044054767,0.072966839,19143.06161,378849.5355,5,1894247.677
1,E05,Cy5,HSP60,Unkn-13,30_deg,B176,M,L14,30.23390133,30.31812633,0.084224994,0.072966839,19143.06161,412484.0257,5,2062420.128
1,E06,Cy5,HSP60,Unkn-13,30_deg,B176,M,L14,30.35829655,30.31812633,0.040170227,0.072966839,19143.06161,379826.603,5,1899133.015
1,E07,Cy5,HSP60,Unkn-14,40_deg,B248,M,H12,32.18603037,32.21924838,0.033218009,0.050588545,3675.239602,113046.6831,5,565233.4156
1,E08,Cy5,HSP60,Unkn-14,40_deg,B248,M,H12,32.27747017,32.21924838,0.058221788,0.050588545,3675.239602,106396.209,5,531981.045
1,E09,Cy5,HSP60,Unkn-14,40_deg,B248,M,H12,32.1942446,32.21924838,0.025003779,0.050588545,3675.239602,112432.6366,5,562163.1828
1,E10,Cy5,HSP60,Unkn-15,30_deg,B209,M,L6,30.33453343,30.3714512,0.036917764,0.066325302,16354.51246,385858.7743,5,1929293.871
1,E11,Cy5,HSP60,Unkn-15,30_deg,B209,M,L6,30.33179937,30.3714512,0.039651829,0.066325302,16354.51246,386558.922,5,1932794.61
1,E12,Cy5,HSP60,Unkn-15,30_deg,B209,M,L6,30.44802079,30.3714512,0.076569593,0.066325302,16354.51246,357888.4919,5,1789442.459
1,F04,Cy5,HSP60,Unkn-16,40_deg,B195,F,H4,30.56918247,30.52560213,0.043580339,0.111905053,25712.84817,330260.879,5,1651304.395
1,F05,Cy5,HSP60,Unkn-16,40_deg,B195,F,H4,30.60916046,30.52560213,0.08355833,0.111905053,25712.84817,321621.2822,5,1608106.411
1,F06,Cy5,HSP60,Unkn-16,40_deg,B195,F,H4,30.39846346,30.52560213,0.127138669,0.111905053,25712.84817,369844.0384,5,1849220.192
1,F07,Cy5,HSP60,Unkn-17,30_deg,B368,M,L4,30.33632919,30.46654661,0.130217419,0.146960195,34033.59874,385399.6021,5,1926998.01
1,F08,Cy5,HSP60,Unkn-17,30_deg,B368,M,L4,30.62588836,30.46654661,0.159341755,0.146960195,34033.59874,318073.6492,5,1590368.246
1,F09,Cy5,HSP60,Unkn-17,30_deg,B368,M,L4,30.43742227,30.46654661,0.029124336,0.146960195,34033.59874,360412.4302,5,1802062.151
1,F10,Cy5,HSP60,Unkn-18,40_deg,B336,F,H10,30.15867198,30.15597529,0.002696688,0.031089033,8966.625521,433581.4832,5,2167907.416
1,F11,Cy5,HSP60,Unkn-18,40_deg,B336,F,H10,30.18562814,30.15597529,0.029652848,0.031089033,8966.625521,425900.5828,5,2129502.914
1,F12,Cy5,HSP60,Unkn-18,40_deg,B336,F,H10,30.12362576,30.15597529,0.032349535,0.031089033,8966.625521,443775.0611,5,2218875.306
1,G04,Cy5,HSP60,Unkn-19,30_deg,B388,F,L14,30.37823301,30.41746109,0.039228079,0.164386868,39166.83773,374838.621,5,1874193.105
1,G05,Cy5,HSP60,Unkn-19,30_deg,B388,F,L14,30.59791328,30.41746109,0.180452191,0.164386868,39166.83773,324028.7903,5,1620143.951
1,G06,Cy5,HSP60,Unkn-19,30_deg,B388,F,L14,30.27623698,30.41746109,0.141224111,0.164386868,39166.83773,401066.0052,5,2005330.026
1,G07,Cy5,HSP60,Unkn-20,40_deg,B234,F,H16,29.82196307,30.06605456,0.244091494,0.246431347,75580.88701,542040.677,5,2710203.385
1,G08,Cy5,HSP60,Unkn-20,40_deg,B234,F,H16,30.06143968,30.06605456,0.004614886,0.246431347,75580.88701,462456.0328,5,2312280.164
1,G09,Cy5,HSP60,Unkn-20,40_deg,B234,F,H16,30.31476094,30.06605456,0.24870638,0.246431347,75580.88701,390950.8943,5,1954754.471
1,G10,Cy5,HSP60,Unkn-21,30_deg,B367,F,L2,31.41176419,31.4167077,0.004943502,0.069490315,8657.81215,188895.3025,5,944476.5125
1,G11,Cy5,HSP60,Unkn-21,30_deg,B367,F,L2,31.48853776,31.4167077,0.071830062,0.069490315,8657.81215,179520.0178,5,897600.0891
1,G12,Cy5,HSP60,Unkn-21,30_deg,B367,F,L2,31.34982114,31.4167077,0.066886559,0.069490315,8657.81215,196815.2437,5,984076.2183
1,H04,Cy5,HSP60,Unkn-22,40_deg,B302,F,H12,29.98381364,30.13915592,0.155342288,0.246738671,68819.73972,486882.5506,5,2434412.753
1,H05,Cy5,HSP60,Unkn-22,40_deg,B302,F,H12,30.42366409,30.13915592,0.284508162,0.246738671,68819.73972,363715.3819,5,1818576.909
1,H06,Cy5,HSP60,Unkn-22,40_deg,B302,F,H12,30.00999005,30.13915592,0.129165874,0.246738671,68819.73972,478504.7567,5,2392523.783
1,H07,Cy5,HSP60,Unkn-23,30_deg,B369,F,L4,30.59196774,30.61445025,0.022482512,0.067911996,14293.68311,325308.7324,5,1626543.662
