Plate,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,H10,Cy5,HSP90B1,Unkn-24,Hot,,36.31765046,36.15109985,0.166550607,0.342839534,35.80826031,36.49393938,2.004743155,7.198962469,5,35.99481235
1,H11,Cy5,HSP90B1,Unkn-24,Hot,,35.75680265,36.15109985,0.394297196,0.342839534,35.80826031,36.49393938,2.004743155,10.51627077,5,52.58135383
1,H12,Cy5,HSP90B1,Unkn-24,Hot,,36.37884644,36.15109985,0.227746589,0.342839534,35.80826031,36.49393938,2.004743155,6.907338532,5,34.53669266
1,A05,FAM,IL1B,Unkn-01,Cool,,38.35171036,38.04062763,0.311082728,1.598793187,36.44183444,39.63942082,0.821189905,1.234612742,5,6.173063708
1,A06,FAM,IL1B,Unkn-01,Cool,,37.7295449,38.04062763,0.311082728,1.598793187,36.44183444,39.63942082,0.821189905,1.875312447,5,9.376562237
1,A07,FAM,IL1B,Unkn-09,Hot,,35.09460966,35.177678,0.083068338,0.09132312,35.08635488,35.26900112,0.634948851,11.01353081,5,55.06765403
1,A08,FAM,IL1B,Unkn-09,Hot,,35.2754674,35.177678,0.097789397,0.09132312,35.08635488,35.26900112,0.634948851,9.753348372,5,48.76674186
1,A09,FAM,IL1B,Unkn-09,Hot,,35.16295694,35.177678,0.014721059,0.09132312,35.08635488,35.26900112,0.634948851,10.51921627,5,52.59608134
1,A10,FAM,IL1B,Unkn-17,Cool,,37.22934527,37.36086206,0.131516792,0.136052122,37.22480994,37.49691418,0.219032658,2.624386961,5,13.12193481
1,A11,FAM,IL1B,Unkn-17,Cool,,37.50103605,37.36086206,0.140173986,0.136052122,37.22480994,37.49691418,0.219032658,2.186506059,5,10.9325303
1,A12,FAM,IL1B,Unkn-17,Cool,,37.35220487,37.36086206,0.008657194,0.136052122,37.22480994,37.49691418,0.219032658,2.416453418,5,12.08226709
1,B04,FAM,IL1B,Unkn-02,Hot,,38.24610804,38.53244304,0.286335004,0.69387075,37.83857229,39.22631379,0.706662647,1.325392973,5,6.626964865
1,B06,FAM,IL1B,Unkn-02,Hot,,38.81877805,38.53244304,0.286335004,0.69387075,37.83857229,39.22631379,0.706662647,0.902078135,5,4.510390673
1,B07,FAM,IL1B,Unkn-10,Cool,,38.43847354,38.67468042,0.236206878,1.928562104,36.74611832,40.60324252,0.542766218,1.164699677,5,5.823498383
1,B08,FAM,IL1B,Unkn-10,Cool,,38.9108873,38.67468042,0.236206878,1.928562104,36.74611832,40.60324252,0.542766218,0.847944478,5,4.239722389
1,C04,FAM,IL1B,Unkn-03,Cool,,36.95118137,36.59808106,0.353100303,0.308947067,36.28913399,36.90702813,0.793157034,3.163689576,5,15.81844788
1,C05,FAM,IL1B,Unkn-03,Cool,,36.46555843,36.59808106,0.132522634,0.308947067,36.28913399,36.90702813,0.793157034,4.384244192,5,21.92122096
1,C06,FAM,IL1B,Unkn-03,Cool,,36.37750339,36.59808106,0.220577669,0.308947067,36.28913399,36.90702813,0.793157034,4.651451391,5,23.25725696
1,C10,FAM,IL1B,Unkn-19,Cool,,39.01971472,38.67694722,0.342767496,0.484746442,38.19220078,39.16169366,0.326035633,0.788156478,5,3.940782388
1,C11,FAM,IL1B,Unkn-19,Cool,,38.33417973,38.67694722,0.342767496,0.484746442,38.19220078,39.16169366,0.326035633,1.249240491,5,6.246202456
1,D04,FAM,IL1B,Unkn-04,Hot,,38.40670184,38.26501217,0.141689673,1.022482055,37.24253012,39.28749423,1.700551905,1.18982936,5,5.949146798
1,D05,FAM,IL1B,Unkn-04,Hot,,38.1233225,38.26501217,0.141689673,1.022482055,37.24253012,39.28749423,1.700551905,1.439370168,5,7.196850842
1,D07,FAM,IL1B,Unkn-12,Hot,,34.77774774,34.55110674,0.226640997,0.250329106,34.30077763,34.80143585,2.73910282,13.62650046,5,68.13250232
1,D08,FAM,IL1B,Unkn-12,Hot,,34.59315694,34.55110674,0.042050203,0.250329106,34.30077763,34.80143585,2.73910282,15.42575559,5,77.12877795
1,D09,FAM,IL1B,Unkn-12,Hot,,34.28241554,34.55110674,0.2686912,0.250329106,34.30077763,34.80143585,2.73910282,19.00720641,5,95.03603207
1,E04,FAM,IL1B,Unkn-05,Cool,,37.39908638,37.41104889,0.011962516,0.656975892,36.754073,38.06802479,1.539241872,2.341524893,5,11.70762447
1,E05,FAM,IL1B,Unkn-05,Cool,,37.42301141,37.41104889,0.011962516,0.656975892,36.754073,38.06802479,1.539241872,2.304186602,5,11.52093301
1,E07,FAM,IL1B,Unkn-13,Cool,,33.25948472,33.17397738,0.085507345,0.075714002,33.09826338,33.24969138,2.012965826,37.79212266,5,188.9606133
1,E08,FAM,IL1B,Unkn-13,Cool,,33.11544459,33.17397738,0.058532788,0.075714002,33.09826338,33.24969138,2.012965826,41.63236085,5,208.1618043
1,E09,FAM,IL1B,Unkn-13,Cool,,33.14700282,33.17397738,0.026974557,0.075714002,33.09826338,33.24969138,2.012965826,40.75891371,5,203.7945686
1,E10,FAM,IL1B,Unkn-21,Cool,,39.28496828,39.71805439,0.433086102,1.237595695,38.48045869,40.95565008,0.266190195,0.659498163,5,3.297490814
1,E12,FAM,IL1B,Unkn-21,Cool,,40.15114049,39.71805439,0.433086102,1.237595695,38.48045869,40.95565008,0.266190195,0.368528856,5,1.842644281
1,F05,FAM,IL1B,Unkn-06,Cool,,38.16347686,38.15366956,0.009807296,1.036597862,37.1170717,39.19026743,1.906129415,1.401056913,5,7.005284565
1,F06,FAM,IL1B,Unkn-06,Cool,,38.14386227,38.15366956,0.009807296,1.036597862,37.1170717,39.19026743,1.906129415,1.419643041,5,7.098215203
1,G04,FAM,IL1B,Unkn-07,Hot,,37.66859066,37.60810714,0.060483523,0.119544167,37.48856297,37.7276513,0.167314552,1.953707731,5,9.768538655
1,G05,FAM,IL1B,Unkn-07,Hot,,37.47040787,37.60810714,0.137699267,0.119544167,37.48856297,37.7276513,0.167314552,2.231966855,5,11.15983427
1,G06,FAM,IL1B,Unkn-07,Hot,,37.68532288,37.60810714,0.077215744,0.119544167,37.48856297,37.7276513,0.167314552,1.931867194,5,9.65933597
1,G07,FAM,IL1B,Unkn-15,Cool,,36.81831796,36.95885842,0.140540454,0.122391024,36.83646739,37.08124944,0.264960081,3.459093784,5,17.29546892
1,G08,FAM,IL1B,Unkn-15,Cool,,37.04200685,36.95885842,0.083148436,0.122391024,36.83646739,37.08124944,0.264960081,2.976402879,5,14.88201439
1,G09,FAM,IL1B,Unkn-15,Cool,,37.01625043,36.95885842,0.057392018,0.122391024,36.83646739,37.08124944,0.264960081,3.028358122,5,15.14179061
1,H04,FAM,IL1B,Unkn-08,Cool,,31.62623892,31.98530322,0.359064304,0.809219195,31.17608403,32.79452242,37.64060663,113.2320292,5,566.1601458
1,H05,FAM,IL1B,Unkn-08,Cool,,32.34436753,31.98530322,0.359064304,0.809219195,31.17608403,32.79452242,37.64060663,69.89162394,5,349.4581197
1,H07,FAM,IL1B,Unkn-16,Hot,,39.37512251,39.44042828,0.065305775,0.092356313,39.34807197,39.53278459,0.036876234,0.620736541,5,3.103682705
1,H09,FAM,IL1B,Unkn-16,Hot,,39.50573406,39.44042828,0.065305775,0.092356313,39.34807197,39.53278459,0.036876234,0.568585671,5,2.842928354
1,H10,FAM,IL1B,Unkn-24,Hot,,34.88639904,34.92636261,0.03996357,0.289671203,34.6366914,35.21603381,2.37091899,12.66720382,5,63.33601911
1,H11,FAM,IL1B,Unkn-24,Hot,,35.23394062,34.92636261,0.307578014,0.289671203,34.6366914,35.21603381,2.37091899,10.0293068,5,50.14653399
1,H12,FAM,IL1B,Unkn-24,Hot,,34.65874816,34.92636261,0.267614444,0.289671203,34.6366914,35.21603381,2.37091899,14.76071704,5,73.80358519
1,A04,HEX,EEF2,Unkn-01,Cool,,34.79903101,34.61857753,0.180453482,0.186670279,34.43190725,34.80524781,4.426462449,30.41388846,5,152.0694423
1,A05,HEX,EEF2,Unkn-01,Cool,,34.63044485,34.61857753,0.011867327,0.186670279,34.43190725,34.80524781,4.426462449,34.12453678,5,170.6226839
1,A06,HEX,EEF2,Unkn-01,Cool,,34.42625672,34.61857753,0.192320809,0.186670279,34.43190725,34.80524781,4.426462449,39.23010525,5,196.1505262
1,A07,HEX,EEF2,Unkn-09,Hot,,29.59089223,29.63239928,0.041507054,0.046719138,29.58568014,29.67911842,32.90083278,1065.52534,5,5327.6267
1,A08,HEX,EEF2,Unkn-09,Hot,,29.68299491,29.63239928,0.050595631,0.046719138,29.58568014,29.67911842,32.90083278,1000.576752,5,5002.883761
1,A09,HEX,EEF2,Unkn-09,Hot,,29.6233107,29.63239928,0.009088577,0.046719138,29.58568014,29.67911842,32.90083278,1042.197362,5,5210.986808
1,A10,HEX,EEF2,Unkn-17,Cool,,31.96924784,32.16410825,0.194860413,0.175946154,31.9881621,32.34005441,22.64954246,210.0168202,5,1050.084101
1,A11,HEX,EEF2,Unkn-17,Cool,,32.21174776,32.16410825,0.047639507,0.175946154,31.9881621,32.34005441,22.64954246,177.9671625,5,889.8358127
1,A12,HEX,EEF2,Unkn-17,Cool,,32.31132916,32.16410825,0.147220906,0.175946154,31.9881621,32.34005441,22.64954246,166.2679963,5,831.3399815
1,B04,HEX,EEF2,Unkn-02,Hot,,33.2040359,33.13235687,0.071679024,0.113610552,33.01874632,33.24596742,7.533488884,90.38021018,5,451.9010509
1,B05,HEX,EEF2,Unkn-02,Hot,,33.00136514,33.13235687,0.130991736,0.113610552,33.01874632,33.24596742,7.533488884,103.7949137,5,518.9745685
1,B06,HEX,EEF2,Unkn-02,Hot,,33.19166958,33.13235687,0.059312712,0.113610552,33.01874632,33.24596742,7.533488884,91.14663092,5,455.7331546
1,B07,HEX,EEF2,Unkn-10,Cool,,34.70803844,34.57556045,0.132477992,0.200318323,34.37524212,34.77587877,5.046819036,32.36354705,5,161.8177353
1,B08,HEX,EEF2,Unkn-10,Cool,,34.34511239,34.57556045,0.23044806,0.200318323,34.37524212,34.77587877,5.046819036,41.46513742,5,207.3256871
1,B09,HEX,EEF2,Unkn-10,Cool,,34.67353052,34.57556045,0.097970068,0.200318323,34.37524212,34.77587877,5.046819036,33.13519727,5,165.6759863
1,C04,HEX,EEF2,Unkn-03,Cool,,31.15406649,31.14568938,0.008377113,0.023114475,31.1225749,31.16880385,5.838764899,366.4367043,5,1832.183522
1,C05,HEX,EEF2,Unkn-03,Cool,,31.11955436,31.14568938,0.026135013,0.023114475,31.1225749,31.16880385,5.838764899,375.1748008,5,1875.874004
1,C06,HEX,EEF2,Unkn-03,Cool,,31.16344728,31.14568938,0.0177579,0.023114475,31.1225749,31.16880385,5.838764899,364.0969688,5,1820.484844
1,C07,HEX,EEF2,Unkn-11,Cool,,36.78446965,36.70417623,0.080293428,0.186928615,36.51724761,36.89110484,1.095552924,7.839405884,5,39.19702942
1,C08,HEX,EEF2,Unkn-11,Cool,,36.83754329,36.70417623,0.133367064,0.186928615,36.51724761,36.89110484,1.095552924,7.560386144,5,37.80193072
1,C09,HEX,EEF2,Unkn-11,Cool,,36.49051573,36.70417623,0.213660492,0.186928615,36.51724761,36.89110484,1.095552924,9.582001116,5,47.91000558
1,C10,HEX,EEF2,Unkn-19,Cool,,34.21688079,34.38608732,0.16920653,0.487051612,33.89903571,34.87313893,10.91968821,45.25959239,5,226.2979619
1,C11,HEX,EEF2,Unkn-19,Cool,,34.55529385,34.38608732,0.16920653,0.487051612,33.89903571,34.87313893,10.91968821,35.92138374,5,179.6069187
1,D04,HEX,EEF2,Unkn-04,Hot,,32.51641034,32.26624181,0.250168522,0.780207152,31.48603466,33.04644897,139.9378797,144.5410216,5,722.705108
