,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,HSP60,Std-01,,,27.4194489967687,27.3996513562948,0.0938362236281768,3000000,6.47712125471966,3000000,0,64,
,A02,Cy5,HSP60,Std-01,,,27.2974959539699,27.3996513562948,0.0938362236281768,3000000,6.47712125471966,3000000,0,64,
,A03,Cy5,HSP60,Std-01,,,27.4820091181458,27.3996513562948,0.0938362236281768,3000000,6.47712125471966,3000000,0,64,
,A04,Cy5,HSP60,Unkn-25,40_deg,,30.9804480349368,31.3006889711652,0.336945447876953,257285.257012674,5.41041490093446,210920.103348154,46807.0482877871,64,
,A05,Cy5,HSP60,Unkn-25,40_deg,,31.2694549464717,31.3006889711652,0.336945447876953,211791.718742289,5.325908974776,210920.103348154,46807.0482877871,64,
,A06,Cy5,HSP60,Unkn-25,40_deg,,31.652163932087,31.3006889711652,0.336945447876953,163683.3342895,5.21400446319593,210920.103348154,46807.0482877871,64,
,B01,Cy5,HSP60,Std-02,,,28.3661427143927,28.4228567198027,0.166355204078323,1500000,6.17609125905568,1500000,0,64,
,B02,Cy5,HSP60,Std-02,,,28.6101530037339,28.4228567198027,0.166355204078323,1500000,6.17609125905568,1500000,0,64,
,B03,Cy5,HSP60,Std-02,,,28.2922744412815,28.4228567198027,0.166355204078323,1500000,6.17609125905568,1500000,0,64,
,B04,Cy5,HSP60,Unkn-26,30_deg,,32.2269078785957,32.2764730311201,0.0735928222136485,111160.048153803,5.04594872623889,107598.921225063,5256.39335238786,64,
,B05,Cy5,HSP60,Unkn-26,30_deg,,32.2414778922804,32.2764730311201,0.0735928222136485,110074.935297058,5.04168843884981,107598.921225063,5256.39335238786,64,
,B06,Cy5,HSP60,Unkn-26,30_deg,,32.3610333224841,32.2764730311201,0.0735928222136485,101561.780224329,5.00673030479352,107598.921225063,5256.39335238786,64,
,C01,Cy5,HSP60,Std-03,,,29.3372292704764,29.2656172067793,0.1171283463035,750000,5.8750612633917,750000,0,64,
,C02,Cy5,HSP60,Std-03,,,29.1304490405054,29.2656172067793,0.1171283463035,750000,5.8750612633917,750000,0,64,
,C03,Cy5,HSP60,Std-03,,,29.3291733093562,29.2656172067793,0.1171283463035,750000,5.8750612633917,750000,0,64,
,C04,Cy5,HSP60,Unkn-27,40_deg,,30.4763227170941,30.4431664119935,0.101397832847754,361261.496216699,5.55782167628788,369996.630554572,25618.6814366557,64,
,C05,Cy5,HSP60,Unkn-27,40_deg,,30.3293410739812,30.4431664119935,0.101397832847754,398840.51095952,5.60079926396418,369996.630554572,25618.6814366557,64,
,C06,Cy5,HSP60,Unkn-27,40_deg,,30.5238354449052,30.4431664119935,0.101397832847754,349887.884487498,5.54392890449685,369996.630554572,25618.6814366557,64,
,D02,Cy5,HSP60,Std-04,,,30.2911094833859,30.3031956558273,0.0170924289838503,375000,5.57403126772772,375000,0,64,
,D03,Cy5,HSP60,Std-04,,,30.3152818282687,30.3031956558273,0.0170924289838503,375000,5.57403126772772,375000,0,64,
,D04,Cy5,HSP60,Unkn-28,30_deg,,31.2353237510079,31.3494044648716,0.0991589803588685,216715.00009015,5.33588897237622,200994.722509846,13658.6093769338,64,
,D05,Cy5,HSP60,Unkn-28,30_deg,,31.3979774474133,31.3494044648716,0.0991589803588685,194235.612652247,5.28832885976564,200994.722509846,13658.6093769338,64,
,D06,Cy5,HSP60,Unkn-28,30_deg,,31.4149121961937,31.3494044648716,0.0991589803588685,192033.554787141,5.28337712133716,200994.722509846,13658.6093769338,64,
,E02,Cy5,HSP60,Std-05,,,31.423578184488,31.4631162461754,0.0559152630682807,187500,5.27300127206374,187500,0,64,
