Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,JulianDate,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,H08,Cy5,HSP60,Unkn-16,Hot,23886,F,1/8/2018,,35.50548671,35.37644588,0.129040825,0.259387873,35.11705801,35.63583376,2.063004086,9.802289944,5,49.01144972
1,H09,Cy5,HSP60,Unkn-16,Hot,23886,F,1/8/2018,,35.54600541,35.37644588,0.169559526,0.259387873,35.11705801,35.63583376,2.063004086,9.527681299,5,47.63840649
1,H10,Cy5,HSP60,Unkn-24,Hot,28805,M,1/8/2018,,32.08112919,32.29933143,0.218202237,0.200145662,32.09918576,32.49947709,13.36548399,108.2045259,5,541.0226293
1,H11,Cy5,HSP60,Unkn-24,Hot,28805,M,1/8/2018,,32.47438043,32.29933143,0.175049008,0.200145662,32.09918576,32.49947709,13.36548399,82.12536972,5,410.6268486
1,H12,Cy5,HSP60,Unkn-24,Hot,28805,M,1/8/2018,,32.34248466,32.29933143,0.043153229,0.200145662,32.09918576,32.49947709,13.36548399,90.08393424,5,450.4196712
1,A04,FAM,APTX,Unkn-01,Cool,24281,F,1/3/2018,,35.56506768,35.96355653,0.398488847,0.34557848,35.61797805,36.30913501,2.025357412,10.28083634,5,51.40418168
1,A05,FAM,APTX,Unkn-01,Cool,24281,F,1/3/2018,,36.18095212,35.96355653,0.21739559,0.34557848,35.61797805,36.30913501,2.025357412,6.690168498,5,33.45084249
1,A06,FAM,APTX,Unkn-01,Cool,24281,F,1/3/2018,,36.14464978,35.96355653,0.181093257,0.34557848,35.61797805,36.30913501,2.025357412,6.861757887,5,34.30878944
1,A07,FAM,APTX,Unkn-09,Hot,23894,M,1/8/2018,,32.77696334,32.71672711,0.060236231,0.058070039,32.65865707,32.77479715,3.031390659,71.899571,5,359.497855
1,A08,FAM,APTX,Unkn-09,Hot,23894,M,1/8/2018,,32.66109769,32.71672711,0.055629423,0.058070039,32.65865707,32.77479715,3.031390659,77.95240698,5,389.7620349
1,A09,FAM,APTX,Unkn-09,Hot,23894,M,1/8/2018,,32.7121203,32.71672711,0.004606809,0.058070039,32.65865707,32.77479715,3.031390659,75.22660573,5,376.1330286
1,A10,FAM,APTX,Unkn-17,Cool,23870,M,1/4/2018,,34.25956378,34.1432804,0.116283382,0.14071348,34.00256692,34.28399388,2.778480216,25.55938222,5,127.7969111
1,A11,FAM,APTX,Unkn-17,Cool,23870,M,1/4/2018,,34.18341848,34.1432804,0.040138088,0.14071348,34.00256692,34.28399388,2.778480216,26.9537817,5,134.7689085
1,A12,FAM,APTX,Unkn-17,Cool,23870,M,1/4/2018,,33.98685893,34.1432804,0.156421469,0.14071348,34.00256692,34.28399388,2.778480216,30.91507898,5,154.5753949
1,B04,FAM,APTX,Unkn-02,Hot,23882,F,1/8/2018,,39.17634693,38.7236371,0.45270983,0.933661114,37.78997599,39.65729821,1.130031716,0.827822938,5,4.139114689
1,B05,FAM,APTX,Unkn-02,Hot,23882,F,1/8/2018,,38.27092727,38.7236371,0.45270983,0.933661114,37.78997599,39.65729821,1.130031716,1.556853926,5,7.784269628
1,B07,FAM,APTX,Unkn-10,Cool,23871,M,1/4/2018,,36.18799619,36.22587611,0.03787992,0.278736826,35.94713929,36.50461294,1.245837291,6.657373879,5,33.2868694
1,B08,FAM,APTX,Unkn-10,Cool,23871,M,1/4/2018,,35.96801641,36.22587611,0.2578597,0.278736826,35.94713929,36.50461294,1.245837291,7.761561584,5,38.80780792
1,B09,FAM,APTX,Unkn-10,Cool,23871,M,1/4/2018,,36.52161573,36.22587611,0.295739621,0.278736826,35.94713929,36.50461294,1.245837291,5.275066325,5,26.37533163
1,C04,FAM,APTX,Unkn-03,Cool,24508,F,1/16/2018,,34.81617073,34.32661765,0.489553082,0.426512413,33.90010524,34.75313006,6.770582282,17.33476511,5,86.67382555
1,C05,FAM,APTX,Unkn-03,Cool,24508,F,1/16/2018,,34.12838328,34.32661765,0.198234375,0.426512413,33.90010524,34.75313006,6.770582282,28.00873178,5,140.0436589
1,C06,FAM,APTX,Unkn-03,Cool,24508,F,1/16/2018,,34.03529894,34.32661765,0.291318708,0.426512413,33.90010524,34.75313006,6.770582282,29.88785404,5,149.4392702
1,C08,FAM,APTX,Unkn-11,Cool,23866,F,1/3/2018,,39.42612185,39.11849549,0.307626365,0.814766028,38.30372946,39.93326152,0.752564238,0.695447599,5,3.477237995
1,C09,FAM,APTX,Unkn-11,Cool,23866,F,1/3/2018,,38.81086912,39.11849549,0.307626365,0.814766028,38.30372946,39.93326152,0.752564238,1.06822913,5,5.34114565
1,C10,FAM,APTX,Unkn-19,Cool,23869,M,1/4/2018,,35.45846027,35.64684685,0.188386579,0.165641245,35.4812056,35.81248809,1.157261877,11.07456696,5,55.37283482
1,C11,FAM,APTX,Unkn-19,Cool,23869,M,1/4/2018,,35.76967394,35.64684685,0.122827092,0.165641245,35.4812056,35.81248809,1.157261877,8.913328723,5,44.56664361
1,C12,FAM,APTX,Unkn-19,Cool,23869,M,1/4/2018,,35.71240633,35.64684685,0.065559487,0.165641245,35.4812056,35.81248809,1.157261877,9.276624971,5,46.38312486
