Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
D12,FAM,HSP90AA1,Unkn-20,40C,,33.70250009,32.6270105,1.264970983,28.00686971,1.447264571,78.01175969,70.29153289,64,
E01,FAM,HSP90AA1,Std-05,,,28.47157733,28.4221332,0.069924557,1000,3,1000,0,64,
E03,FAM,HSP90AA1,Std-05,,,28.37268907,28.4221332,0.069924557,1000,3,1000,0,64,
E04,FAM,HSP90AA1,Unkn-05,30C,,28.5996484,29.07290295,0.488420532,1005.240524,3.002269988,749.4200921,249.400355,64,
E05,FAM,HSP90AA1,Unkn-05,30C,,29.04386651,29.07290295,0.488420532,736.0413866,2.866902235,749.4200921,249.400355,64,
E06,FAM,HSP90AA1,Unkn-05,30C,,29.57519395,29.07290295,0.488420532,506.9783654,2.704989427,749.4200921,249.400355,64,
E07,FAM,HSP90AA1,Unkn-13,40C,,32.21385647,31.9665782,0.294479805,79.59812811,1.900902855,96.06649821,20.47786736,64,
E08,FAM,HSP90AA1,Unkn-13,40C,,32.0450738,31.9665782,0.294479805,89.60586644,1.952336444,96.06649821,20.47786736,64,
E09,FAM,HSP90AA1,Unkn-13,40C,,31.64080434,31.9665782,0.294479805,118.9955001,2.075530538,96.06649821,20.47786736,64,
E10,FAM,HSP90AA1,Unkn-21,30C,,31.77496272,32.54395528,0.682206557,108.3048995,2.034648104,68.41540344,34.90734515,64,
E11,FAM,HSP90AA1,Unkn-21,30C,,32.78048668,32.54395528,0.682206557,53.4850174,1.728232141,68.41540344,34.90734515,64,
E12,FAM,HSP90AA1,Unkn-21,30C,,33.07641646,32.54395528,0.682206557,43.45629346,1.638052681,68.41540344,34.90734515,64,
F01,FAM,HSP90AA1,Std-06,,,32.12422831,32.10512564,0.035973655,100,2,100,0,64,
F02,FAM,HSP90AA1,Std-06,,,32.12751831,32.10512564,0.035973655,100,2,100,0,64,
F03,FAM,HSP90AA1,Std-06,,,32.06363029,32.10512564,0.035973655,100,2,100,0,64,
F04,FAM,HSP90AA1,Unkn-06,40C,,31.36876727,31.98271666,0.677248401,144.0220899,2.158429109,100.5182507,43.90159316,64,
F05,FAM,HSP90AA1,Unkn-06,40C,,31.87020951,31.98271666,0.677248401,101.3032312,2.005623298,100.5182507,43.90159316,64,
F06,FAM,HSP90AA1,Unkn-06,40C,,32.70917319,31.98271666,0.677248401,56.22943109,1.749963689,100.5182507,43.90159316,64,
F07,FAM,HSP90AA1,Unkn-14,30C,,32.03308585,32.97587411,0.848627743,90.36277565,1.955989563,52.74907116,33.02925341,64,
F08,FAM,HSP90AA1,Unkn-14,30C,,33.67863758,32.97587411,0.848627743,28.47975549,1.454536256,52.74907116,33.02925341,64,
F09,FAM,HSP90AA1,Unkn-14,30C,,33.2158989,32.97587411,0.848627743,39.40468235,1.595547831,52.74907116,33.02925341,64,
F10,FAM,HSP90AA1,Unkn-22,40C,,30.45346312,31.22424567,0.870654379,273.748754,2.437352151,178.6512176,95.79926617,64,
F11,FAM,HSP90AA1,Unkn-22,40C,,32.16861793,31.22424567,0.870654379,82.16531294,1.914688514,178.6512176,95.79926617,64,
F12,FAM,HSP90AA1,Unkn-22,40C,,31.05065596,31.22424567,0.870654379,180.0395857,2.255368005,178.6512176,95.79926617,64,
G01,FAM,HSP90AA1,Std-07,,,35.06308056,35.19915268,0.153719464,10,1,10,0,64,
G02,FAM,HSP90AA1,Std-07,,,35.16848233,35.19915268,0.153719464,10,1,10,0,64,
G03,FAM,HSP90AA1,Std-07,,,35.36589516,35.19915268,0.153719464,10,1,10,0,64,
G04,FAM,HSP90AA1,Unkn-07,30C,,28.83467993,29.78100193,0.868096608,852.4093645,2.930648212,498.276067,313.2269229,64,
G05,FAM,HSP90AA1,Unkn-07,30C,,29.96789782,29.78100193,0.868096608,384.8750362,2.585319743,498.276067,313.2269229,64,
G06,FAM,HSP90AA1,Unkn-07,30C,,30.54042805,29.78100193,0.868096608,257.5438002,2.4108511,498.276067,313.2269229,64,
G07,FAM,HSP90AA1,Unkn-15,40C,,30.2601214,31.21430427,0.875570252,313.5232003,2.496269684,182.6557541,115.7421678,64,
G08,FAM,HSP90AA1,Unkn-15,40C,,31.98083404,31.21430427,0.875570252,93.73729029,1.971912395,182.6557541,115.7421678,64,
G09,FAM,HSP90AA1,Unkn-15,40C,,31.40195739,31.21430427,0.875570252,140.7067716,2.148314999,182.6557541,115.7421678,64,
G10,FAM,HSP90AA1,Unkn-23,30C,,30.18926884,30.88982925,0.652209052,329.5040583,2.517860768,216.4059811,101.4929078,64,
G11,FAM,HSP90AA1,Unkn-23,30C,,31.00076036,30.88982925,0.652209052,186.4544804,2.270572824,216.4059811,101.4929078,64,
G12,FAM,HSP90AA1,Unkn-23,30C,,31.47945854,30.88982925,0.652209052,133.2594044,2.124697868,216.4059811,101.4929078,64,
H01,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H02,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H03,FAM,HSP90AA1,NTC,,,NaN,0,0,NaN,NaN,0,0,64,
H04,FAM,HSP90AA1,Unkn-08,40C,,29.85536212,30.24440594,0.381615331,416.4981163,2.619613042,324.6621794,86.83918328,64,
H05,FAM,HSP90AA1,Unkn-08,40C,,30.25972422,30.24440594,0.381615331,313.6105885,2.496390717,324.6621794,86.83918328,64,
H06,FAM,HSP90AA1,Unkn-08,40C,,30.61813148,30.24440594,0.381615331,243.8778335,2.387172328,324.6621794,86.83918328,64,
H07,FAM,HSP90AA1,Unkn-16,30C,,33.3232054,33.80335334,0.771722158,36.54668909,1.562848039,28.43705354,12.55768411,64,
H08,FAM,HSP90AA1,Unkn-16,30C,,34.69354157,33.80335334,0.771722158,13.97210663,1.145261891,28.43705354,12.55768411,64,
H09,FAM,HSP90AA1,Unkn-16,30C,,33.39331305,33.80335334,0.771722158,34.79236491,1.54148395,28.43705354,12.55768411,64,
H10,FAM,HSP90AA1,Unkn-24,40C,,35.06095135,35.53204017,0.432750339,10.79692645,1.033300143,8.005516126,2.507783829,64,
H11,FAM,HSP90AA1,Unkn-24,40C,,35.91190835,35.53204017,0.432750339,5.942726996,0.77398578,8.005516126,2.507783829,64,
H12,FAM,HSP90AA1,Unkn-24,40C,,35.62326081,35.53204017,0.432750339,7.276894927,0.861946104,8.005516126,2.507783829,64,
A01,HEX,EEF2,Std-01,,,16.64237561,16.44750332,0.227719075,10000000,7,10000000,0,64,
A02,HEX,EEF2,Std-01,,,16.19717973,16.44750332,0.227719075,10000000,7,10000000,0,64,
A03,HEX,EEF2,Std-01,,,16.50295463,16.44750332,0.227719075,10000000,7,10000000,0,64,
A04,HEX,EEF2,Unkn-01,30C,,26.05694404,26.63557983,0.584449748,9534.767599,3.979310112,6712.237621,2681.597639,64,
A05,HEX,EEF2,Unkn-01,30C,,26.62412043,26.63557983,0.584449748,6403.678075,3.806429491,6712.237621,2681.597639,64,
A06,HEX,EEF2,Unkn-01,30C,,27.22567501,26.63557983,0.584449748,4198.26719,3.623070075,6712.237621,2681.597639,64,
A07,HEX,EEF2,Unkn-09,40C,,29.69780166,29.85585047,0.384482888,740.5304983,2.869542949,678.2175876,168.6630349,64,
A08,HEX,EEF2,Unkn-09,40C,,30.29416936,29.85585047,0.384482888,487.2642449,2.687764544,678.2175876,168.6630349,64,
A09,HEX,EEF2,Unkn-09,40C,,29.57558041,29.85585047,0.384482888,806.8580196,2.90679712,678.2175876,168.6630349,64,
A10,HEX,EEF2,Unkn-17,30C,,29.92700176,29.33177618,0.630034742,630.4935279,2.799680633,1022.288757,455.0433375,64,
A11,HEX,EEF2,Unkn-17,30C,,28.67191533,29.33177618,0.630034742,1521.39721,3.182242616,1022.288757,455.0433375,64,
A12,HEX,EEF2,Unkn-17,30C,,29.39641145,29.33177618,0.630034742,914.9755325,2.961409481,1022.288757,455.0433375,64,
B01,HEX,EEF2,Std-02,,,19.1698724,19.16132012,0.012094749,1000000,6,1000000,0,64,
B03,HEX,EEF2,Std-02,,,19.15276784,19.16132012,0.012094749,1000000,6,1000000,0,64,
B04,HEX,EEF2,Unkn-02,40C,,28.0393484,28.65507467,0.666772687,2371.673387,3.37505488,1650.293454,717.6052893,64,
B05,HEX,EEF2,Unkn-02,40C,,28.56262956,28.65507467,0.666772687,1642.683642,3.215553932,1650.293454,717.6052893,64,
B06,HEX,EEF2,Unkn-02,40C,,29.36324605,28.65507467,0.666772687,936.5233335,2.971518602,1650.293454,717.6052893,64,
B07,HEX,EEF2,Unkn-10,30C,,27.47234768,28.87784265,1.427705943,3530.871865,3.547881957,1788.17594,1572.214205,64,
B08,HEX,EEF2,Unkn-10,30C,,30.32676852,28.87784265,1.427705943,476.2423552,2.677828017,1788.17594,1572.214205,64,
B09,HEX,EEF2,Unkn-10,30C,,28.83441176,28.87784265,1.427705943,1357.413599,3.132712196,1788.17594,1572.214205,64,
B10,HEX,EEF2,Unkn-18,40C,,32.54318964,32.06924246,0.475430424,100.5176451,2.002242305,145.4431789,47.94033753,64,
B11,HEX,EEF2,Unkn-18,40C,,31.59234255,32.06924246,0.475430424,195.9157346,2.292069317,145.4431789,47.94033753,64,
B12,HEX,EEF2,Unkn-18,40C,,32.07219518,32.06924246,0.475430424,139.896157,2.145805785,145.4431789,47.94033753,64,
C01,HEX,EEF2,Std-03,,,22.60676948,22.52090014,0.08323632,100000,5,100000,0,64,
C02,HEX,EEF2,Std-03,,,22.51535701,22.52090014,0.08323632,100000,5,100000,0,64,
C03,HEX,EEF2,Std-03,,,22.44057393,22.52090014,0.08323632,100000,5,100000,0,64,
C04,HEX,EEF2,Unkn-03,30C,,28.56007255,28.96798213,0.443308224,1645.634298,3.21633333,1275.266136,379.3360283,64,
C05,HEX,EEF2,Unkn-03,30C,,28.90411326,28.96798213,0.443308224,1292.607092,3.111466534,1275.266136,379.3360283,64,
C06,HEX,EEF2,Unkn-03,30C,,29.43976058,28.96798213,0.443308224,887.5570178,2.948196262,1275.266136,379.3360283,64,
C07,HEX,EEF2,Unkn-11,40C,,30.23367175,29.41977778,0.715111958,508.3991026,2.706204775,970.7633782,413.1016051,64,
C08,HEX,EEF2,Unkn-11,40C,,29.13352695,29.41977778,0.715111958,1100.370944,3.041539114,970.7633782,413.1016051,64,
C09,HEX,EEF2,Unkn-11,40C,,28.89213464,29.41977778,0.715111958,1303.520088,3.115117728,970.7633782,413.1016051,64,
C10,HEX,EEF2,Unkn-19,30C,,31.30834652,31.13656593,0.193343605,239.1299316,2.37863394,271.4498208,37.43977129,64,
C11,HEX,EEF2,Unkn-19,30C,,30.92718345,31.13656593,0.193343605,312.4755058,2.49481598,271.4498208,37.43977129,64,
